h2,h3,href,text,url_name,download
Corrections,Alabama,https://www.justice.gov/crt/case-document/file/1149971/download,CRIPA Notice Letter (2019),corrections_alabama_cripa_notice_letter_2019,Case Document
Corrections,Alabama,https://www.justice.gov/crt/case-document/file/1149981/download,Cover Letter to CRIPA Notice (2019),corrections_alabama_cover_letter_to_cripa_notice_2019,Case Document
Corrections,Alabama,https://www.justice.gov/crt/case-document/file/1297031/download,Use of Force CRIPA Notice Letter (2020),corrections_alabama_use_of_force_cripa_notice_letter_2020,Case Document
Corrections,Alabama,https://www.justice.gov/crt/case-document/file/1297026/download,Cover Letter to Use of Force CRIPA Notice (2020),corrections_alabama_cover_letter_to_use_of_force_cripa_notice_2020,Case Document
Corrections,Alabama,https://www.justice.gov/crt/case-document/file/1344026/download,Complaint (2020),corrections_alabama_complaint_2020,Case Document
Corrections,Alabama,https://www.justice.gov/crt/case-document/file/1415536/download,Amended Complaint (2021),corrections_alabama_amended_complaint_2021,Case Document
Corrections,Alabama,https://www.justice.gov/media/1154131/dl?inline,Attachment A to Amended Complaint (2021),corrections_alabama_attachment_a_to_amended_complaint_2021,Media
Corrections,Alabama,https://www.justice.gov/d9/2023-08/doc_71_second_amended_complaint.pdf,Second Amended Complaint (2021),corrections_alabama_second_amended_complaint_2021,PDF
Corrections,Alabama,https://www.justice.gov/crt/about/spl/documents/tutwiler_findings_1-17-14.pdf,Findings Letter (2014),corrections_alabama_findings_letter_2014,PDF
Corrections,Alabama,https://www.justice.gov/crt/about/spl/documents/tutwiler_complaint_5-28-15.pdf,Complaint (2015),corrections_alabama_complaint_2015,PDF
Corrections,Alabama,https://www.justice.gov/crt/about/spl/documents/tutwiler_agreement_6-18-15.pdf,Consent Decree (2015),corrections_alabama_consent_decree_2015,PDF
Corrections,Alabama,https://www.justice.gov/crt/about/spl/documents/MCMJ_findlet_01-15-09.pdf,Findings Letter (2009),corrections_alabama_findings_letter_2009,PDF
